Código,Descrição,Saldo,Imagem URL,Código Filial
998,Vodka Stolichnaya Garrafa Vidro 1L,0,https://one.bees.com/mf/admin-portal-main-mfe/69578b051631db0e07b7.svg,RIGARRSPCAPITAL
988,Licor Tia Maria Garrafa Vidro 700ml,0,https://cms-prod.global.ssl.fastly.net/media/09-30-2024-87fb798e-47b2-4768-a608-59f654654763-b8ef2319.png,RIGARRSPCAPITAL
985,Aperitivo Cynar Garrafa Vidro 900ml,0,https://cms-prod.global.ssl.fastly.net/media/09-27-2024-9dfbe488-c55c-41c1-8edb-f34ff726cc29-98739d53.png,RIGARRSPCAPITAL
98,Rum Bacardi Mojito Garrafa Vidro 980ml,167,https://cms-prod.global.ssl.fastly.net/media/09-04-2024-c7e9b827-ba73-4275-8e98-c62b48b26a83-2e096cd6.png,RIGARRSPCAPITAL
964,Cachaça Seleta Garrafa Vidro 600ml,0,https://cms-prod.global.ssl.fastly.net/media/07-24-2024-9d8369c6-c972-4885-880b-2e0fb150b112-ade4b2a8.png,RIGARRSPCAPITAL
891,Bitter Angostura Orange Pet 100ml,0,https://cms-prod.global.ssl.fastly.net/media/07-23-2024-a16c1958-15ae-422f-8ae2-55dcd55000f5-5f628419.png,RIGARRSPCAPITAL
865,Aperitivo Italiano Fernet-Branca Garrafa Vidro 750ml,0,https://cms-prod.global.ssl.fastly.net/media/09-27-2024-4332e380-ef98-450e-b262-6e550fe44d79-66b238d8.png,RIGARRSPCAPITAL
863,Whisky Jim Beam Black Garrafa Vidro 1L,0,https://cms-prod.global.ssl.fastly.net/media/09-27-2024-e9bbf8b5-49ed-4917-b0f8-e7da63f05cbd-3e5be536.png,RIGARRSPCAPITAL
857,Licor 43 Diego Zamora Garrafa Vidro 700ml,0,https://cms-prod.global.ssl.fastly.net/media/07-22-2024-899ae3a9-1e91-41b3-b4ac-ef6c4bca2df7-4345f6b9.png,RIGARRSPCAPITAL
856,Vermouth Carpano Punt & Mes Garrafa Vidro 1L,0,https://cms-prod.global.ssl.fastly.net/media/07-23-2024-0cef8885-0308-487d-890f-9070ae0ae4d5-e65d2784.png,RIGARRSPCAPITAL
855,Pisco Capel Reservado Garrafa Vidro 750ml,0,https://cms-prod.global.ssl.fastly.net/media/09-30-2024-344e1d9c-621d-4f50-ac26-ef2cf5ff1f71-3efbe48f.png,RIGARRSPCAPITAL
743,Bitter Angostura Aromatic Pet 100ml,0,https://cms-prod.global.ssl.fastly.net/media/09-27-2024-b2d1267a-b2e5-4092-b48a-3ea008fa4f2c-661a4ea7.png,RIGARRSPCAPITAL
738,Whisky Jack Daniels Honey Garrafa Vidro 1L,0,https://cms-prod.global.ssl.fastly.net/media/09-27-2024-3363cf15-4bb4-4ac3-874a-be398361f586-8677f1b6.png,RIGARRSPCAPITAL
71,Aguardente Old Cesar 88 Garrafa Vidro 965ml,0,https://cms-prod.global.ssl.fastly.net/media/07-24-2024-45a4d2ed-0593-46a0-88c8-c355f9262ffa-be4638f5.png,RIGARRSPCAPITAL
69,Rum Montilla Carta Branca Garrafa Vidro 1L,100,https://cms-prod.global.ssl.fastly.net/media/07-23-2024-b098185c-0b4d-411c-b01e-70035ecb4111-9936a395.png,RIGARRSPCAPITAL
677,Whisky Jack Daniels Garrafa Vidro 200ml,0,https://cms-prod.global.ssl.fastly.net/media/07-22-2024-ebaa1fe2-d96c-49eb-9443-65649161e1b0-bb408a94.png,RIGARRSPCAPITAL
666,Espumante Casa Perini Brut Rosé Garrafa Vidro 750ml,0,https://cms-prod.global.ssl.fastly.net/media/07-24-2024-50031da4-c14c-4270-8263-0a3e91da4bba-78daa31d.png,RIGARRSPCAPITAL
664,Espumante Casa Perini Brut Garrafa Vidro 750ml,0,https://cms-prod.global.ssl.fastly.net/media/07-23-2024-a5968820-d718-453e-b43e-b841f896f808-50d1f73b.png,RIGARRSPCAPITAL
663,Espumante Casa Perini Aquarela Rosé Garrafa Vidro 750ml,0,https://cms-prod.global.ssl.fastly.net/media/07-23-2024-d003ec51-a226-4500-bbdc-8dc0a321dbd2-e95e5a35.png,RIGARRSPCAPITAL
