Seleçao,Descrição,Código,Matriz,Estado,Marca,Preço,Desconto Normal,Desconto Gradual
,Espumante Espumante Alud Branco 750Ml,3011,CASTASSP,Habilitado,,"35,90",,
,Espumante Espumante Alud Rose 750Ml,3063,CASTASSP,Habilitado,,"35,90",,
,Vinho Adega Da Serra Tinto 750Ml,2914,CASTASSP,Desabilitado,,"32,90",,
,Vinho Adele Branco 750Ml,2917,CASTASSP,Habilitado,,"56,90",,
,Vinho Adele Rose 750Ml,2916,CASTASSP,Habilitado,,"56,90",,
,Vinho Adele Tinto 750Ml,2918,CASTASSP,Desabilitado,,"36,90",,
,Vinho Branco Cala De Poeti Bianco 750Ml,3126,CASTASSP,Habilitado,,"45,90",,
,Vinho Chao Do Conde Colheita Branco750Ml,2906,CASTASSP,Habilitado,,"45,90",,
,Vinho Chao Do Conde Colheita Rose 750Ml,2891,CASTASSP,Habilitado,,"45,90",,
,Vinho Chao Do Conde Colheita Tinto 750Ml,2892,CASTASSP,Habilitado,,"45,90",,
,Vinho Chao Do Conde Privado Branco 750Ml,2890,CASTASSP,Habilitado,,"36,90",,
,Vinho Chao Do Conde Privado Tinto 750Ml,2889,CASTASSP,Habilitado,,"36,90",,
,Vinho Chao Do Conde Reserva Branco 750Ml,2888,CASTASSP,Habilitado,,"57,90",,
,Vinho Chao Do Conde Reserva Tinto 750Ml,2887,CASTASSP,Habilitado,,"57,90",,
,Vinho Collemare Neo Sicily 750Ml,3022,CASTASSP,Habilitado,,"66,90",,
,Vinho Comassi Primitivo Puglia 750Ml,3124,CASTASSP,Habilitado,,"60,90",,
,Vinho Foodkiller Cab. Sauv. 750Ml,2927,CASTASSP,Habilitado,,"41,90",,
,Vinho Foodkiller Cab. Sauv./ Merlot,2926,CASTASSP,Habilitado,,"41,90",,
,Vinho Foodkiller Carmenere 750Ml,2928,CASTASSP,Habilitado,,"41,90",,
,Vinho Foodkiller Chardonnay 750Ml,2929,CASTASSP,Habilitado,,"41,90",,
,Vinho Gravedad Cab. Sauv.,2925,CASTASSP,Habilitado,,"31,90",,
,Vinho Gravedad Cab. Sauv./ Carmenere,2922,CASTASSP,Habilitado,,"31,90",,
,Vinho Gravedad Carmenere 750Ml,2924,CASTASSP,Habilitado,,"31,90",,
,Vinho Gravedad Sauv. Blanc 750Ml,2923,CASTASSP,Habilitado,,"31,90",,
,Vinho Horizonte Branco 750Ml,2844,CASTASSP,Habilitado,,"44,90",,
,Vinho Horizonte Rose 750Ml,2845,CASTASSP,Habilitado,,"44,90",,
,Vinho Horizonte Tinto 750Ml,2846,CASTASSP,Habilitado,,"44,90",,
,Vinho Humb. Canale Denario Cab. Sauv. 750Ml,2894,CASTASSP,Habilitado,,"61,90",,
,Vinho Humb. Canale Denario Malbec 750Ml,2893,CASTASSP,Habilitado,,"87,90",,
,Vinho Humb. Canale Denario Sauv. Blanc,2895,CASTASSP,Habilitado,,"87,90",,
,Vinho Las Colinas Cab. Sauv. 750Ml,2936,CASTASSP,Habilitado,,"37,90",,
,Vinho Las Colinas Carmenere 750Ml,2937,CASTASSP,Habilitado,,"37,90",,
,Vinho Las Colinas Red Blend,2943,CASTASSP,Habilitado,,"32,90",,
,Vinho Las Colinas Sauv. Blanc 750Ml,2938,CASTASSP,Habilitado,,"37,90",,
,Vinho Maxime Branco 750Ml,2263,CASTASSP,Habilitado,,"64,90",,
,Vinho Maxime Rose 750Ml,2874,CASTASSP,Habilitado,,"64,90",,
,Vinho Maxime Tinto 750Ml,2875,CASTASSP,Habilitado,,"64,90",,
,Vinho Mov Branco,2981,CASTASSP,Habilitado,,"26,90",,
,Vinho Mov Tinto,2982,CASTASSP,Habilitado,,"26,90",,
,Vinho Pacheca Doc Douro Branco 750Ml,2516,CASTASSP,Habilitado,,"75,90",,
,Vinho Pacheca Doc Douro Rose  750Ml,2517,CASTASSP,Habilitado,,"75,90",,
,Vinho Pacheca Doc Douro Tinto 750Ml,2518,CASTASSP,Habilitado,,"75,90",,
,Vinho Punta De Lobos Reserva Cab. Sauv. 750Ml,2930,CASTASSP,Habilitado,,"66,90",,
,Vinho Punta De Lobos Reserva Carmenere 750Ml,2931,CASTASSP,Habilitado,,"66,90",,
,Vinho Punta De Lobos Reserva Chardonnay 750Ml,2935,CASTASSP,Habilitado,,"66,90",,
,Vinho Punta De Lobos Reserva Malbec 750Ml,2932,CASTASSP,Habilitado,,"66,90",,
,Vinho Punta De Lobos Reserva Merlot 750Ml,2933,CASTASSP,Habilitado,,"66,90",,
,Vinho Punta De Lobos Reserva Sauv. Blanc 750Ml,2934,CASTASSP,Habilitado,,"66,90",,
,Vinho Rose Cala De Poeti Rosato 750Ml,3127,CASTASSP,Habilitado,,"45,90",,
,Vinho Villa Rosa Branco 750Ml,2613,CASTASSP,Habilitado,,"32,90",,
,Vinho Villa Rosa Branco Escolha 750Ml,3023,CASTASSP,Desabilitado,,"41,90",,
,Vinho Villa Rosa Branco Privado 750Ml,3026,CASTASSP,Desabilitado,,"55,90",,
,Vinho Villa Rosa Colheita Tinto 375Ml,2704,CASTASSP,Habilitado,,"39,90",,
,Vinho Villa Rosa Frisante Branco,4067,CASTASSP,Habilitado,,"35,90",,
,Vinho Villa Rosa Frisante Rose,4068,CASTASSP,Habilitado,,"35,90",,
,Vinho Villa Rosa Rose 750Ml,2703,CASTASSP,Habilitado,,"32,90",,
