Seleçao,Descrição,Código,Matriz,Estado,Marca,Preço,Desconto Normal,Desconto Gradual
,Aguardente Old Cesar 88 Garrafa Vidro 965ml,71,RIGARRRJCAPITAL,Habilitado,,"13,90",,
,Aperitivo Aperol Garrafa Vidro 750ml,644,RIGARRRJCAPITAL,Habilitado,,"50,90",,
,Aperitivo Argentino Fernet-Branca Garrafa Vidro 750ml,4490,RIGARRRJCAPITAL,Habilitado,,"162,90",,
,Aperitivo Campari Garrafa Vidro 900ml,447,RIGARRRJCAPITAL,Habilitado,,"54,90",,
,Aperitivo Cynar Garrafa Vidro 900ml,985,RIGARRRJCAPITAL,Habilitado,,,,
,Aperitivo Italiano Fernet-Branca Garrafa Vidro 750ml,865,RIGARRRJCAPITAL,Habilitado,,,,
,Aperitivo Lillet Blanc Garrafa Vidro 750ml,2569,RIGARRRJCAPITAL,Habilitado,,"90,90",,
,Aperitivo Ramazzotti Amaro Garrafa Vidro 750ml,3331,RIGARRRJCAPITAL,Habilitado,,"75,90",,
,Aperitivo Ramazzotti Rosato Garrafa Vidro 750ml,2606,RIGARRRJCAPITAL,Habilitado,,,,
,Aperitivo Vermelhão Amaro Garrafa Vidro 740ml,3199,RIGARRRJCAPITAL,Habilitado,,"39,90",,
,Bitter Angostura Aromatic Pet 100ml,743,RIGARRRJCAPITAL,Habilitado,,"164,90",,
,Bitter Angostura Aromatic Pet 200ml,2457,RIGARRRJCAPITAL,Habilitado,,"194,90",,
,Bitter Angostura Cocoa Pet 100ml,3404,RIGARRRJCAPITAL,Habilitado,,,,
,Bitter Angostura Orange Pet 100ml,891,RIGARRRJCAPITAL,Habilitado,,"164,90",,
,Brandy Espanhol Gonzalez Byass Lepanto Garrafa Vidro 750ml,4323,RIGARRRJCAPITAL,Habilitado,,,,
,CACHACA 7 ENGENHOS BALSAMO 700 ML,4136,RIGARRRJCAPITAL,Habilitado,,"51,90",,
,CACHACA 7 ENGENHOS CARVALHO 700 ML,4137,RIGARRRJCAPITAL,Habilitado,,"57,90",,
,CACHACA 7 ENGENHOS CEREJEIRA 700ML,4138,RIGARRRJCAPITAL,Habilitado,,"65,90",,
,CACHACA 7 ENGENHOS PRATA 700 ML,4139,RIGARRRJCAPITAL,Habilitado,,"45,90",,
,CACHACA SANTO GRAU CXC 750ML,2430,RIGARRRJCAPITAL,Habilitado,,"65,90",,
,CACHACA SANTO GRAU ITIRAPUA 750ML,2432,RIGARRRJCAPITAL,Habilitado,,"70,90",,
